pose_x		pose_y		pose_z		heading
0.000000		0.000000		1.000000		0.000000
0.000000		9.000000		1.000000		-0.741523
0.000000		9.000000		12.000000		-0.741523
-0.500000		8.500000		12.000000		-0.741523
-0.500000		8.500000		1.000000		-0.741523
-1.000000		6.500000		1.000000		0.000000
-1.000000		6.500000		12.000000		0.000000
-1.000000		5.500000		12.000000		0.000000
-1.000000		5.500000		1.000000		0.000000
-0.500000		3.500000		1.000000		0.741523
-0.500000		3.500000		12.000000		0.741523
0.000000		3.000000		12.000000		0.741523
0.000000		3.000000		1.000000		0.741523
4.000000		3.000000		1.000000		2.312319
4.000000		3.000000		12.000000		2.312319
4.500000		3.500000		12.000000		2.312319
4.500000		3.500000		1.000000		2.312319
5.000000		5.500000		1.000000		3.141592
5.000000		5.500000		12.000000		3.141592
5.000000		6.500000		12.000000		3.141592
5.000000		6.500000		1.000000		3.141592
4.500000		8.500000		1.000000		-2.312319
4.500000		8.500000		12.000000		-2.312319
4.000000		9.000000		12.000000		-2.312319
4.000000		9.000000		1.000000		-2.312319
4.000000		9.000000		11.000000		0.000000
47.500000		9.000000		11.000000		0.000000
47.500000		7.500000		11.000000		0.000000
4.000000		7.500000		11.000000		0.000000
4.000000		6.000000		11.000000		0.000000
47.500000		6.000000		11.000000		0.000000
47.500000		4.500000		11.000000		0.000000
4.000000		4.500000		11.000000		0.000000
4.000000		3.000000		11.000000		0.000000
47.500000		3.000000		11.000000		0.000000
47.500000		3.000000		1.000000		0.000000
