pose_x		pose_y		pose_z		heading
0.000000		0.000000		1.000000		0.000000
0.000000		0.000000		6.000000		0.000000
-1.00000		0.000000		6.000000		0.000000
-1.000000		0.000000		1.000000		0.000000
-1.500000		0.500000		1.000000		0.785378
-1.500000		0.500000		6.000000		0.785378
-2.000000		1.000000		6.000000		0.785378
-2.000000		1.000000		1.000000		0.785378
-2.000000		2.000000		1.000000		1.570756
-2.000000		2.000000		6.000000		1.570756
-2.000000		0.000000		6.000000		1.570756
-12.000000		0.000000		6.000000		1.570756
-12.000000		2.000000		6.000000		1.570756
-2.000000		2.000000		6.000000		1.570756
-2.000000		4.000000		6.000000		1.570756
-12.000000		4.000000		6.000000		1.570756
-12.000000		2.000000		6.000000		1.570756
-12.000000		2.000000		6.000000		-1.570756
-12.000000		2.000000		1.000000		-1.570756
-12.000000		1.000000		1.000000		-1.570756
-12.000000		1.000000		6.000000		-1.570756
-12.500000		0.500000		6.000000		-1.570756
-12.500000		0.500000		6.000000		-0.785378
-12.500000		0.500000		1.000000		-0.785378
-13.000000		0.000000		1.000000		-0.785378
-13.000000		0.000000		6.000000		-0.785378
-13.000000		0.000000		6.000000		0.000000
-13.000000		0.000000		1.000000		0.000000
-14.000000		0.000000		1.000000		0.000000
-14.000000		0.000000		6.000000		0.000000
-14.000000		-2.000000		6.000000		0.000000
0.000000		0.000000		6.000000		0.000000
0.000000		0.000000		3.000000		0.000000
