pose_x 		 pose_y 		 pose_z 		 yaw 
0.000000		0.000000		1.999999		0.000000
0.000000		8.800015		1.999999		-0.174533
0.000000		9.150017		5.800004		-0.174533
0.000000		9.150017		10.100020		-0.174533
0.000000		8.100013		10.100020		-0.174533
0.000000		8.100013		1.999999		-0.174533
0.000000		6.350006		1.999999		0.174533
0.000000		6.350006		10.100020		0.174533
0.000000		5.250002		10.100020		0.174533
0.000000		5.250002		1.999999		0.174533
0.000000		0.800000		1.999999		0.000000
4.299998		0.800000		1.999999		1.570796
4.299998		0.800000		10.000020		1.570796
5.400002		0.800000		10.000020		1.570796
5.400002		0.800000		1.999999		1.570796
9.150017		0.800000		1.999999		1.570796
9.150017		0.800000		4.049997		1.570796
9.150017		5.900004		4.049997		3.054326
9.150017		5.800004		10.300021		3.054326
9.150017		6.600007		10.300021		3.054326
9.150017		6.600007		4.049997		3.054326
9.150017		8.550014		4.049997		3.403391
9.150017		8.550014		10.150021		3.403391
9.150017		9.450018		10.150021		3.403391
9.150017		9.450018		4.099998		3.403391
9.150017		9.450018		4.099998		-0.000000
9.150017		9.450018		10.200021		-0.000000
9.150017		11.600026		10.200021		-0.000000
27.999859		12.750031		10.200021		-0.000000
46.849571		13.500033		10.200021		-0.000000
46.849571		12.200028		10.200021		-0.000000
28.199856		11.750027		10.200021		-0.000000
9.150016		10.600022		10.200021		-0.000000
9.200016		9.000016		10.200021		-0.000000
28.199856		10.100020		10.200021		-0.000000
46.799572		10.650023		10.200021		-0.000000
46.799572		9.700019		10.200021		-0.000000
28.149857		8.600015		10.200021		-0.000000
9.150016		7.200009		10.200021		-0.000000
9.150016		5.250002		10.200021		-0.000000
27.999859		6.400006		10.200021		-0.000000
46.599575		7.300010		10.200021		-0.000000
46.599575		6.400006		10.200021		-0.000000
27.949860		5.200002		10.200021		-0.000000
9.150016		3.749998		10.200021		-0.000000
9.150016		1.100000		10.200021		-0.000000
14.200035		1.100000		10.200021		-0.000000
14.200035		1.100000		12.700030		1.570796
27.649864		1.100000		12.700030		1.570796
46.399578		1.100000		12.700030		1.570796
46.399578		1.100000		3.999997		1.570796
