pose_x 		 pose_y 		 pose_z 		yaw 
0.000000		0.000000		4.499999		1.570796
4.950001		0.000000		4.499999		1.570796
11.100024		0.000000		4.499999		1.570796
12.150028		0.200000		4.499999		1.570796
12.150028		10.400022		4.499999		1.570796
12.150028		10.900023		4.900001		1.570796
12.150028		10.900023		10.050020		1.570796
20.349976		11.150024		10.050020		1.570796
28.299854		11.550026		10.050020		1.570796
36.399731		11.550026		10.050020		1.570796
45.649590		11.700027		10.050020		1.570796
45.649590		8.250013		10.050020		1.570796
36.399731		8.000012		10.050020		1.570796
28.399853		7.850012		10.050020		1.570796
20.349976		7.700011		10.050020		1.570796
12.250028		7.700011		10.050020		1.570796
12.250028		4.199998		10.050020		1.570796
20.299976		3.899997		10.050020		1.570796
28.349854		3.899997		10.050020		1.570796
36.349731		3.899997		10.050020		1.570796
45.599590		3.899997		10.050020		1.570796
45.599590		9.700019		10.050020		1.570796
48.899540		9.700019		10.050020		1.570796
48.899540		9.700019		7.050009		1.570796
48.899540		9.700019		3.699998		1.570796
48.899540		7.200009		3.699998		1.570796
48.899540		7.200009		7.100009		1.570796
48.899540		7.200009		10.050020		1.570796
48.899540		1.500000		10.050020		1.570796
54.849449		1.500000		10.050020		1.570796
54.849449		1.500000		10.050020		0.000000
54.849449		1.500000		6.950008		0.000000
54.849449		1.500000		3.699998		0.000000
